id,username,email,password,,,
1,testusername1,testemail1,scrypt:32768:8:1$IL0PnCsv32xqVA9P$0e114f3c024deee73030700c84b48e5fa3ca916c7768d3dae97c4308bd55865d15a683c88adf67b66342b5d7adea18aee12639559eae8704492503de33713488,,,
2,testusername2,testemail@gmail.com,scrypt:32768:8:1$MzvsA5slCyRgcO0t$bccbc1bcdf37067dffc92dc2ec12c8454a1c4ded7a281f62006ec5f197336e2731a4ed5f9092e02a1fb8b7c2a3006fc4309a9d182cf35ccaeb8236fdb4c75b9a,,,
3,testusername3,,scrypt:32768:8:1$JS0lzKNvXHuCy9Mm$c825f082245e8e209fedfbc6571a9604e6fa34d8dde7d765fcb971cfdf484cb171ab33c54682b40e04760175ef1f2fded56ce2876b5216b258bac56395ae2efc,,,
4,testusername4,user@yahoo.com,scrypt:32768:8:1$3Dz5lFEBVn2gytre$5110a2f53e1a04d0523e6e2b8f502e16e0ee29a76f2da314313edf8014f19f8c9d063e98ba30a22e3693a90547fb5c0e9110b6bdb6e3bb07b52112e20da801f4,,,
5,testusername14,,scrypt:32768:8:1$GpEou1Gwy7ICHcwY$cdbf7c6ec2f031633869b6e3f88a055ed2c652d2381dd1ca0e4d426120bd5a3933441fa3fbd86344e2486f36d0185bccb95400b17bf873db7d98200f3b5fbae766,,,
6,integration_test,,scrypt:32768:8:1$f10DkBZTBlFBKvia$83f6e13fc811c05e80e1bf8d5480b4a1f6f8fae8a9b1704016e700f2d8aaa4c5400917f088e039868c41e0d0ebe915b7734c75202b0d56473cfb1dfc103b3f777
7,john,,scrypt:32768:8:1$rfKxRbWuCXw1wT6C$8b016ee456ed463d3d4b211565602fc4a1e2003839979af15c07aa06aff5a1a4b2309a85af663c551dbd75fca23ba2e39205d7cdf503862698c07287a13c428d,,,
8,peter,,scrypt:32768:8:1$YVGVCpv9hVjJQQLb$b8bba1bedf6a9e9661e9a47ba04d1bddbce83c31d4aeac4ced5a97f5add1eff1b48e3bf500a32df6125296605034f75505be565aa3fc63af5b2e569ef7065de1,,,
9,chatTester,,scrypt:32768:8:1$xp9hlguRjNPFqazn$cad1a8c0f36dfaf86d8466ca092a33794ecfb18c9e4fcda0c7568f790c35db4b19b52040550b25512ac36e39c271195372ec9352d7d5e113c6c28e9b90b158d5,,,
10,qwertyuiop,,scrypt:32768:8:1$Ns2Hsl23njNMtzst$976e557f7eee66da580380fee9d16bd06c0559a849b3cf9890ab86c9e79b566da52a51cca4a9589b86739a2b7dad1ace4266b297aa28e90c679b6ff7bb7bbc4e11,,,
11,qwe,,scrypt:32768:8:1$WGk7eVG0jk1V6gGi$74ddd7b5463ec2a338a1e3d46699aedfb742a5d136e759b7384254a022943065baed7ae37116b01b003bc702ac41c747362116eead778d40cb70d6936f11b7ab,,,
12,favtester,,scrypt:32768:8:1$5lJ0f8BM2SrMcUus$2f46bafe0c2b456aecca19b0cb3aae13e59be8bda35212b70fef86ffdccf9a78a21d2f0bc7e6db5118d53180b142b5f8dfe0bb7354fcb46a60a799f569ff780d,,,
13,thirteen,,scrypt:32768:8:1$TLzQFwGSRnW9iQRV$de0dad7d8bb9fe4dd47f0a13c102b85527afd02ab7baf46d78613f26197a4d0e2f054a995b44a909a4541aaa1900a76745eff41a4cacf9a3ccf63fee72e41dfe,,,
